Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-05-06 21:00","32126","31335","31863",
"2025-05-06 21:05","32206","31649","31863",
"2025-05-06 21:10","32431","31800","31863",
"2025-05-06 21:15","32347","31786","32109",
"2025-05-06 21:20","32255","31697","32109",
"2025-05-06 21:25","32426","31623","32109",
"2025-05-06 21:30","32353","31564","31996",
"2025-05-06 21:35","32319","31479","31996",
"2025-05-06 21:40","32215","31328","31996",
"2025-05-06 21:45","32114","31109","31679",
"2025-05-06 21:50","31880","30912","31679",
"2025-05-06 21:55","31841","30823","31679",
"2025-05-06 22:00","31430","30900","30850",
"2025-05-06 22:05","31162","30907","30850",
"2025-05-06 22:10","30952","30779","30850",
"2025-05-06 22:15","30619","30516","30124",
"2025-05-06 22:20","30321","30202","30124",
"2025-05-06 22:25","30161","29920","30124",
"2025-05-06 22:30","29809","29671","29366",
"2025-05-06 22:35","29522","29430","29366",
"2025-05-06 22:40","29101","29170","29366",
"2025-05-06 22:45","29069","28893","28613",
"2025-05-06 22:50","28854","28627","28613",
"2025-05-06 22:55","28427","28399","28613",
"2025-05-06 23:00","28057","28126","27528",
"2025-05-06 23:05","27962","27943","27528",
"2025-05-06 23:10","27809","27734","27528",
"2025-05-06 23:15","27729","27499","26734",
"2025-05-06 23:20","27304","27259","26734",
"2025-05-06 23:25","27088","27036","26734",
"2025-05-06 23:30","26805","26829","26427",
"2025-05-06 23:35","26714","26635","26427",
"2025-05-06 23:40","26357","26452","26427",
"2025-05-06 23:45","26025","26278","25728",
"2025-05-06 23:50","26079","26104","25728",
"2025-05-06 23:55","26106","25921","25728",
"2025-05-07 00:00","25768","25555","25136",
"2025-05-07 00:05","25666","25368","25136",
"2025-05-07 00:10","25742","25200","25136",
"2025-05-07 00:15","25692","25053","24840",
"2025-05-07 00:20","25604","24914","24840",
"2025-05-07 00:25","25309","24773","24840",
"2025-05-07 00:30","25194","24631","24740",
"2025-05-07 00:35","25136","24492","24740",
"2025-05-07 00:40","25002","24363","24740",
"2025-05-07 00:45","24731","24244","24533",
"2025-05-07 00:50","24017","24121","24533",
"2025-05-07 00:55","24344","23983","24533",
"2025-05-07 01:00","24116","23712","24159",
"2025-05-07 01:05","24070","23562","24159",
"2025-05-07 01:10","23904","23435","24159",
"2025-05-07 01:15","23704","23333","23652",
"2025-05-07 01:20","23568","23244","23652",
"2025-05-07 01:25","23606","23156","23652",
"2025-05-07 01:30","23607","23070","23394",
"2025-05-07 01:35","23306","22986","23394",
"2025-05-07 01:40","23360","22906","23394",
"2025-05-07 01:45","23166","22829","23161",
"2025-05-07 01:50","23212","22762","23161",
"2025-05-07 01:55","22963","22707","23161",
"2025-05-07 02:00","22853","22595","22768",
"2025-05-07 02:05","22988","22558","22768",
"2025-05-07 02:10","22856","22516","22768",
"2025-05-07 02:15","22653","22468","22699",
"2025-05-07 02:20","22687","22420","22699",
"2025-05-07 02:25","22711","22379","22699",
"2025-05-07 02:30","22682","22345","22587",
"2025-05-07 02:35","22942","22316","22587",
"2025-05-07 02:40","22410","22295","22587",
"2025-05-07 02:45","22646","22279","22585",
"2025-05-07 02:50","22709","22261","22585",
