Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-05-05 21:00","31612","31665","31725",
"2025-05-05 21:05","31945","32057","31725",
"2025-05-05 21:10","32119","32243","31725",
"2025-05-05 21:15","32178","32222","31893",
"2025-05-05 21:20","32682","32105","31893",
"2025-05-05 21:25","32760","32001","31893",
"2025-05-05 21:30","32610","31910","31830",
"2025-05-05 21:35","32687","31804","31830",
"2025-05-05 21:40","32376","31652","31830",
"2025-05-05 21:45","32101","31456","31681",
"2025-05-05 21:50","32002","31240","31681",
"2025-05-05 21:55","31768","31030","31681",
"2025-05-05 22:00","31308","30904","30504",
"2025-05-05 22:05","31104","30690","30504",
"2025-05-05 22:10","31138","30450","30504",
"2025-05-05 22:15","30735","30185","29830",
"2025-05-05 22:20","30172","29912","29830",
"2025-05-05 22:25","30096","29646","29830",
"2025-05-05 22:30","29952","29388","29139",
"2025-05-05 22:35","29741","29134","29139",
"2025-05-05 22:40","29466","28877","29139",
"2025-05-05 22:45","28880","28618","28497",
"2025-05-05 22:50","28683","28370","28497",
"2025-05-05 22:55","28621","28143","28497",
"2025-05-05 23:00","28404","27868","27553",
"2025-05-05 23:05","28095","27668","27553",
"2025-05-05 23:10","27530","27454","27553",
"2025-05-05 23:15","27544","27226","27111",
"2025-05-05 23:20","27377","26999","27111",
"2025-05-05 23:25","27046","26789","27111",
"2025-05-05 23:30","26714","26596","26359",
"2025-05-05 23:35","26345","26411","26359",
"2025-05-05 23:40","26238","26224","26359",
"2025-05-05 23:45","26047","26034","25565",
"2025-05-05 23:50","25788","25862","25565",
"2025-05-05 23:55","25331","25725","25565",
"2025-05-06 00:00","25348","25445","24892",
"2025-05-06 00:05","25245","25349","24892",
"2025-05-06 00:10","25383","25226","24892",
"2025-05-06 00:15","25023","25077","24690",
"2025-05-06 00:20","24885","24920","24690",
"2025-05-06 00:25","24655","24773","24690",
"2025-05-06 00:30","24646","24637","24198",
"2025-05-06 00:35","24539","24509","24198",
"2025-05-06 00:40","23975","24387","24198",
"2025-05-06 00:45","24024","24271","23691",
"2025-05-06 00:50","23935","24151","23691",
"2025-05-06 00:55","24024","24015","23691",
"2025-05-06 01:00","23881","23751","23343",
"2025-05-06 01:05","23680","23604","23343",
"2025-05-06 01:10","23740","23480","23343",
"2025-05-06 01:15","23668","23378","22936",
"2025-05-06 01:20","23499","23286","22936",
"2025-05-06 01:25","23377","23192","22936",
"2025-05-06 01:30","23161","23096","22785",
"2025-05-06 01:35","23264","23005","22785",
"2025-05-06 01:40","23239","22928","22785",
"2025-05-06 01:45","22994","22864","22470",
"2025-05-06 01:50","22973","22793","22470",
"2025-05-06 01:55","22838","22697","22470",
"2025-05-06 02:00","22646","22498","22482",
"2025-05-06 02:05","22684","22380","22482",
"2025-05-06 02:10","22637","22295","22482",
"2025-05-06 02:15","22538","22244","22285",
"2025-05-06 02:20","22408","22210","22285",
"2025-05-06 02:25","22287","22174","22285",
"2025-05-06 02:30","22327","22137","22185",
"2025-05-06 02:35","22455","22099","22185",
"2025-05-06 02:40","22264","22063","22185",
"2025-05-06 02:45","22151","22027","22080",
"2025-05-06 02:50","22142","22001","22080",
"2025-05-06 02:55","22270","21996","22080",
"2025-05-06 03:00","22097","21965","21929",
"2025-05-06 03:05","22048","21981","21929",
"2025-05-06 03:10","22067","21977","21929",
"2025-05-06 03:15","22051","21955","21945",
"2025-05-06 03:20","22196","21928","21945",
"2025-05-06 03:25","22160","21908","21945",
"2025-05-06 03:30","22098","21896","21902",
"2025-05-06 03:35","22146","21884","21902",
"2025-05-06 03:40","21902","21863","21902",
"2025-05-06 03:45","21919","21834","22128",
"2025-05-06 03:50","22065","21817","22128",
"2025-05-06 03:55","21912","21832","22128",
"2025-05-06 04:00","21849","21858","22008",
"2025-05-06 04:05","21818","21909","22008",
"2025-05-06 04:10","22011","21932","22008",
"2025-05-06 04:15","22089","21927","21900",
"2025-05-06 04:20","21985","21911","21900",
"2025-05-06 04:25","21820","21901","21900",
"2025-05-06 04:30","21803","21895","21863",
"2025-05-06 04:35","22074","21905","21863",
"2025-05-06 04:40","22043","21938","21863",
"2025-05-06 04:45","22045","21995","21863",
"2025-05-06 04:50","22021","22032","21863",
"2025-05-06 04:55","21979","22007","21863",
"2025-05-06 05:00","22076","21917","22041",
"2025-05-06 05:05","22210","21842","22041",
"2025-05-06 05:10","22046","21858","22041",
"2025-05-06 05:15","22052","21963","22241",
"2025-05-06 05:20","22396","22111","22241",
"2025-05-06 05:25","22373","22258","22241",
"2025-05-06 05:30","22494","22401","22689",
"2025-05-06 05:35","22600","22555","22689",
"2025-05-06 05:40","22397","22732","22689",
"2025-05-06 05:45","22708","22933","23144",
"2025-05-06 05:50","22794","23143","23144",
"2025-05-06 05:55","22923","23349","23144",
"2025-05-06 06:00","23160","23564","23783",
"2025-05-06 06:05","23739","23772","23783",
