Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-04-30 21:00","31035","31477","31775",
"2025-04-30 21:05","31311","31859","31775",
"2025-04-30 21:10","31636","32047","31775",
"2025-04-30 21:15","31391","32041","31696",
"2025-04-30 21:20","31490","31940","31696",
"2025-04-30 21:25","31311","31841","31696",
"2025-04-30 21:30","31257","31744","31496",
"2025-04-30 21:35","31116","31625","31496",
"2025-04-30 21:40","31030","31462","31496",
"2025-04-30 21:45","30739","31253","30492",
"2025-04-30 21:50","30502","31021","30492",
"2025-04-30 21:55","30233","30788","30492",
"2025-04-30 22:00","29806","30603","29428",
"2025-04-30 22:05","29509","30367","29428",
"2025-04-30 22:10","29236","30125","29428",
"2025-04-30 22:15","28896","29878","29176",
"2025-04-30 22:20","28713","29623","29176",
"2025-04-30 22:25","28417","29361","29176",
"2025-04-30 22:30","27890","29090","27923",
"2025-04-30 22:35","27433","28830","27923",
"2025-04-30 22:40","27430","28599","27923",
"2025-04-30 22:45","27315","28398","26729",
"2025-04-30 22:50","27077","28161","26729",
"2025-04-30 22:55","26622","27824","26729",
"2025-04-30 23:00","26305","27319","25962",
"2025-04-30 23:05","26410","26892","25962",
"2025-04-30 23:10","26333","26588","25962",
"2025-04-30 23:15","26128","26406","25514",
"2025-04-30 23:20","26054","26271","25514",
"2025-04-30 23:25","25594","26108","25514",
"2025-04-30 23:30","25684","25918","25108",
"2025-04-30 23:35","25432","25737","25108",
"2025-04-30 23:40","25356","25603","25108",
"2025-04-30 23:45","25071","25516","24714",
"2025-04-30 23:50","24829","25395","24714",
"2025-04-30 23:55","24713","25162","24714",
"2025-05-01 00:00","24589","24669","24194",
"2025-05-01 00:05","24495","24320","24194",
"2025-05-01 00:10","24550","24076","24194",
"2025-05-01 00:15","24443","23940","23933",
"2025-05-01 00:20","24418","23846","23933",
"2025-05-01 00:25","24296","23730","23933",
"2025-05-01 00:30","24084","23592","23611",
"2025-05-01 00:35","23802","23446","23611",
"2025-05-01 00:40","23729","23306","23611",
"2025-05-01 00:45","23638","23173","23510",
"2025-05-01 00:50","23583","23054","23510",
"2025-05-01 00:55","23510","22957","23510",
"2025-05-01 01:00","23236","22787","23025",
"2025-05-01 01:05","23247","22714","23025",
"2025-05-01 01:10","23259","22621","23025",
"2025-05-01 01:15","22895","22508","22639",
"2025-05-01 01:20","22726","22390","22639",
"2025-05-01 01:25","22755","22283","22639",
"2025-05-01 01:30","22575","22187","22480",
"2025-05-01 01:35","22518","22097","22480",
"2025-05-01 01:40","22277","22010","22480",
"2025-05-01 01:45","21992","21926","22049",
"2025-05-01 01:50","21974","21843","22049",
"2025-05-01 01:55","21752","21758","22049",
"2025-05-01 02:00","21588","21606","21383",
"2025-05-01 02:05","21440","21524","21383",
"2025-05-01 02:10","21470","21451","21383",
"2025-05-01 02:15","21326","21386","21297",
"2025-05-01 02:20","21134","21324","21297",
"2025-05-01 02:25","21310","21260","21297",
"2025-05-01 02:30","21175","21194","21106",
"2025-05-01 02:35","21126","21130","21106",
"2025-05-01 02:40","21050","21073","21106",
"2025-05-01 02:45","20929","21023","20944",
"2025-05-01 02:50","20815","20968","20944",
"2025-05-01 02:55","20823","20898","20944",
"2025-05-01 03:00","20960","20749","20661",
"2025-05-01 03:05","20874","20663","20661",
"2025-05-01 03:10","20757","20595","20661",
"2025-05-01 03:15","20590","20546","20521",
"2025-05-01 03:20","20513","20507","20521",
"2025-05-01 03:25","20627","20471","20521",
"2025-05-01 03:30","20684","20438","20415",
"2025-05-01 03:35","20518","20404","20415",
"2025-05-01 03:40","20440","20364","20415",
"2025-05-01 03:45","20764","20318","20540",
"2025-05-01 03:50","20885","20288","20540",
"2025-05-01 03:55","20748","20297","20540",
"2025-05-01 04:00","20566","20312","20491",
"2025-05-01 04:05","20685","20360","20491",
"2025-05-01 04:10","20607","20370","20491",
