Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-05-03 21:00","27138","27209","27748",
"2025-05-03 21:05","27419","27555","27748",
"2025-05-03 21:10","27459","27756","27748",
"2025-05-03 21:15","27660","27812","28249",
"2025-05-03 21:20","27808","27800","28249",
"2025-05-03 21:25","27820","27795","28249",
"2025-05-03 21:30","27878","27797","28148",
"2025-05-03 21:35","27960","27788","28148",
"2025-05-03 21:40","27913","27748","28148",
"2025-05-03 21:45","27970","27677","27949",
"2025-05-03 21:50","27966","27583","27949",
"2025-05-03 21:55","27698","27476","27949",
"2025-05-03 22:00","27671","27417","27214",
"2025-05-03 22:05","27526","27285","27214",
"2025-05-03 22:10","27386","27146","27214",
"2025-05-03 22:15","27030","27000","26613",
"2025-05-03 22:20","26882","26845","26613",
"2025-05-03 22:25","26890","26680","26613",
"2025-05-03 22:30","26591","26504","26114",
"2025-05-03 22:35","26388","26324","26114",
"2025-05-03 22:40","26347","26143","26114",
"2025-05-03 22:45","26127","25963","25606",
"2025-05-03 22:50","26011","25778","25606",
"2025-05-03 22:55","26002","25582","25606",
"2025-05-03 23:00","25784","25334","24902",
"2025-05-03 23:05","25329","25132","24902",
"2025-05-03 23:10","25032","24952","24902",
"2025-05-03 23:15","25208","24794","24484",
"2025-05-03 23:20","24961","24650","24484",
"2025-05-03 23:25","24707","24513","24484",
"2025-05-03 23:30","24282","24383","24118",
"2025-05-03 23:35","24409","24256","24118",
"2025-05-03 23:40","24274","24130","24118",
"2025-05-03 23:45","24059","24005","23709",
"2025-05-03 23:50","23762","23894","23709",
"2025-05-03 23:55","23718","23813","23709",
"2025-05-04 00:00","23590","23627","23261",
"2025-05-04 00:05","23543","23574","23261",
"2025-05-04 00:10","23341","23491","23261",
"2025-05-04 00:15","23128","23378","23046",
"2025-05-04 00:20","22981","23251","23046",
"2025-05-04 00:25","22895","23127","23046",
"2025-05-04 00:30","22892","23006","22654",
"2025-05-04 00:35","22594","22887","22654",
"2025-05-04 00:40","22556","22771","22654",
"2025-05-04 00:45","22283","22658","22284",
"2025-05-04 00:50","21955","22534","22284",
"2025-05-04 00:55","21848","22386","22284",
"2025-05-04 01:00","21795","22120","21815",
"2025-05-04 01:05","21668","21950","21815",
"2025-05-04 01:10","21627","21811","21815",
"2025-05-04 01:15","21488","21701","21534",
"2025-05-04 01:20","21381","21604","21534",
"2025-05-04 01:25","21220","21504","21534",
"2025-05-04 01:30","21259","21401","21168",
"2025-05-04 01:35","21120","21308","21168",
"2025-05-04 01:40","20905","21235","21168",
"2025-05-04 01:45","20940","21185","20735",
"2025-05-04 01:50","20943","21119","20735",
"2025-05-04 01:55","20668","21000","20735",
"2025-05-04 02:00","20583","20749","20518",
"2025-05-04 02:05","20320","20579","20518",
"2025-05-04 02:10","20303","20466","20518",
"2025-05-04 02:15","20271","20409","20277",
"2025-05-04 02:20","20162","20374","20277",
"2025-05-04 02:25","20210","20325","20277",
"2025-05-04 02:30","19969","20262","20076",
"2025-05-04 02:35","19900","20199","20076",
"2025-05-04 02:40","19881","20150","20076",
"2025-05-04 02:45","19963","20116","19971",
"2025-05-04 02:50","20057","20074","19971",
"2025-05-04 02:55","19753","20006","19971",
"2025-05-04 03:00","19733","19855","19561",
"2025-05-04 03:05","19768","19761","19561",
"2025-05-04 03:10","19753","19699","19561",
"2025-05-04 03:15","19646","19669","19633",
"2025-05-04 03:20","19437","19651","19633",
"2025-05-04 03:25","19446","19627","19633",
"2025-05-04 03:30","19427","19596","19563",
"2025-05-04 03:35","19287","19565","19563",
"2025-05-04 03:40","19312","19541","19563",
"2025-05-04 03:45","19276","19524","19340",
"2025-05-04 03:50","19506","19505","19340",
"2025-05-04 03:55","19299","19480","19340",
"2025-05-04 04:00","18995","19420","19241",
"2025-05-04 04:05","19117","19389","19241",
"2025-05-04 04:10","19267","19368","19241",
"2025-05-04 04:15","19279","19358","19309",
"2025-05-04 04:20","19043","19352","19309",
"2025-05-04 04:25","18909","19343","19309",
"2025-05-04 04:30","18928","19331","19230",
"2025-05-04 04:35","19144","19325","19230",
"2025-05-04 04:40","18881","19336","19230",
"2025-05-04 04:45","18830","19361","18942",
"2025-05-04 04:50","18910","19373","18942",
"2025-05-04 04:55","18876","19339","18942",
"2025-05-04 05:00","18887","19248","18950",
"2025-05-04 05:05","19101","19171","18950",
"2025-05-04 05:10","18993","19145","18950",
"2025-05-04 05:15","19064","19168","18946",
"2025-05-04 05:20","18844","19210","18946",
"2025-05-04 05:25","18827","19243","18946",
"2025-05-04 05:30","18566","19265","19098",
"2025-05-04 05:35","18913","19288","19098",
"2025-05-04 05:40","19038","19324","19098",
"2025-05-04 05:45","19021","19372","19252",
"2025-05-04 05:50","19165","19414","19252",
"2025-05-04 05:55","18899","19430","19252",
"2025-05-04 06:00","18719","19423","19382",
"2025-05-04 06:05","19100","19413","19382",
"2025-05-04 06:10","19377","19427","19382",
"2025-05-04 06:15","19387","19465","19487",
"2025-05-04 06:20","19228","19507","19487",
"2025-05-04 06:25","19388","19536","19487",
"2025-05-04 06:30","19599","19551","19486",
"2025-05-04 06:35","19621","19567","19486",
"2025-05-04 06:40","19752","19597","19486",
"2025-05-04 06:45","19450","19642","19478",
"2025-05-04 06:50","19489","19667","19478",
"2025-05-04 06:55","19575","19640","19478",
"2025-05-04 07:00","19355","19586","19654",
"2025-05-04 07:05","19560","19510","19654",
"2025-05-04 07:10","19661","19495","19654",
"2025-05-04 07:15","19538","19542","19551",
"2025-05-04 07:20","19558","19613","19551",
"2025-05-04 07:25","19519","19672","19551",
"2025-05-04 07:30","19291","19719","19501",
"2025-05-04 07:35","19503","19762","19501",
"2025-05-04 07:40","19689","19808","19501",
"2025-05-04 07:45","19522","19858","19503",
"2025-05-04 07:50","19609","19917","19503",
"2025-05-04 07:55","19639","19993","19503",
"2025-05-04 08:00","19970","20107","20169",
"2025-05-04 08:05","20114","20204","20169",
"2025-05-04 08:10","20031","20291","20169",
"2025-05-04 08:15","19908","20369","20379",
"2025-05-04 08:20","20267","20445","20379",
"2025-05-04 08:25","20503","20523","20379",
"2025-05-04 08:30","20564","20605","20669",
"2025-05-04 08:35","20564","20695","20669",
"2025-05-04 08:40","20480","20801","20669",
"2025-05-04 08:45","20823","20921","20933",
"2025-05-04 08:50","21004","21022","20933",
"2025-05-04 08:55","21137","21068","20933",
"2025-05-04 09:00","21123","21098","21408",
"2025-05-04 09:05","21155","21087","21408",
"2025-05-04 09:10","21433","21125","21408",
"2025-05-04 09:15","21683","21214","21606",
"2025-05-04 09:20","21513","21321","21606",
"2025-05-04 09:25","21615","21414","21606",
"2025-05-04 09:30","21923","21492","21814",
"2025-05-04 09:35","21575","21561","21814",
"2025-05-04 09:40","21895","21624","21814",
"2025-05-04 09:45","21989","21681","22017",
"2025-05-04 09:50","21830","21745","22017",
"2025-05-04 09:55","22130","21830","22017",
"2025-05-04 10:00","21950","22025","22304",
"2025-05-04 10:05","22398","22123","22304",
"2025-05-04 10:10","22404","22186","22304",
"2025-05-04 10:15","22388","22215","22417",
"2025-05-04 10:20","22327","22228","22417",
"2025-05-04 10:25","22592","22245","22417",
"2025-05-04 10:30","22539","22266","22415",
"2025-05-04 10:35","22657","22283","22415",
"2025-05-04 10:40","22567","22287","22415",
"2025-05-04 10:45","22570","22279","22517",
"2025-05-04 10:50","22667","22274","22517",
"2025-05-04 10:55","22530","22286","22517",
"2025-05-04 11:00","22689","22378","22507",
"2025-05-04 11:05","22586","22404","22507",
"2025-05-04 11:10","22296","22405","22507",
"2025-05-04 11:15","22440","22382","22507",
"2025-05-04 11:20","22466","22349","22507",
"2025-05-04 11:25","22483","22320","22507",
"2025-05-04 11:30","22275","22297","22493",
"2025-05-04 11:35","22569","22273","22493",
"2025-05-04 11:40","22375","22243","22493",
"2025-05-04 11:45","22339","22207","22348",
"2025-05-04 11:50","22143","22177","22348",
"2025-05-04 11:55","22135","22167","22348",
"2025-05-04 12:00","22227","22191","22302",
"2025-05-04 12:05","22397","22203","22302",
"2025-05-04 12:10","22189","22200","22302",
"2025-05-04 12:15","22221","22183","22323",
"2025-05-04 12:20","22170","22163","22323",
"2025-05-04 12:25","22360","22152","22323",
"2025-05-04 12:30","22467","22150","22320",
"2025-05-04 12:35","22484","22159","22320",
"2025-05-04 12:40","22178","22179","22320",
