Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-05-04 21:00","26520","26891","27620",
"2025-05-04 21:05","26784","27125","27620",
"2025-05-04 21:10","27043","27290","27620",
"2025-05-04 21:15","27380","27387","27562",
"2025-05-04 21:20","27630","27448","27562",
"2025-05-04 21:25","27885","27504","27562",
"2025-05-04 21:30","28090","27555","27669",
"2025-05-04 21:35","27933","27583","27669",
"2025-05-04 21:40","27777","27571","27669",
"2025-05-04 21:45","27292","27517","28170",
"2025-05-04 21:50","27751","27464","28170",
"2025-05-04 21:55","27672","27455","28170",
"2025-05-04 22:00","27460","27560","27469",
"2025-05-04 22:05","27449","27579","27469",
"2025-05-04 22:10","27536","27526","27469",
"2025-05-04 22:15","27243","27400","26575",
"2025-05-04 22:20","26955","27236","26575",
"2025-05-04 22:25","26592","27070","26575",
"2025-05-04 22:30","26619","26901","26072",
"2025-05-04 22:35","26611","26725","26072",
"2025-05-04 22:40","26365","26538","26072",
"2025-05-04 22:45","26016","26342","25767",
"2025-05-04 22:50","25815","26133","25767",
"2025-05-04 22:55","25661","25910","25767",
"2025-05-04 23:00","25353","25635","24924",
"2025-05-04 23:05","25314","25401","24924",
"2025-05-04 23:10","24864","25186","24924",
"2025-05-04 23:15","24522","24992","24421",
"2025-05-04 23:20","24642","24809","24421",
"2025-05-04 23:25","24428","24629","24421",
"2025-05-04 23:30","24340","24451","23926",
"2025-05-04 23:35","24000","24282","23926",
"2025-05-04 23:40","23822","24129","23926",
"2025-05-04 23:45","23519","23991","23374",
"2025-05-04 23:50","23469","23849","23374",
"2025-05-04 23:55","23468","23682","23374",
"2025-05-05 00:00","23312","23357","22854",
"2025-05-05 00:05","22875","23167","22854",
"2025-05-05 00:10","22951","23006","22854",
"2025-05-05 00:15","22529","22874","22681",
"2025-05-05 00:20","22573","22754","22681",
"2025-05-05 00:25","22348","22629","22681",
"2025-05-05 00:30","22226","22500","22239",
"2025-05-05 00:35","22416","22374","22239",
"2025-05-05 00:40","21940","22261","22239",
"2025-05-05 00:45","22024","22160","21903",
"2025-05-05 00:50","21897","22054","21903",
"2025-05-05 00:55","21718","21925","21903",
"2025-05-05 01:00","21194","21662","21023",
"2025-05-05 01:05","20983","21514","21023",
"2025-05-05 01:10","21368","21397","21023",
"2025-05-05 01:15","21267","21312","21050",
"2025-05-05 01:20","21218","21240","21050",
"2025-05-05 01:25","20877","21160","21050",
"2025-05-05 01:30","20791","21073","20747",
"2025-05-05 01:35","20847","20984","20747",
"2025-05-05 01:40","20788","20902","20747",
"2025-05-05 01:45","20745","20826","20664",
"2025-05-05 01:50","20652","20751","20664",
"2025-05-05 01:55","20569","20674","20664",
"2025-05-05 02:00","20426","20520","20388",
"2025-05-05 02:05","20252","20445","20388",
"2025-05-05 02:10","20249","20382","20388",
"2025-05-05 02:15","20136","20330","20177",
"2025-05-05 02:20","20224","20284","20177",
"2025-05-05 02:25","20236","20240","20177",
"2025-05-05 02:30","20108","20198","20115",
"2025-05-05 02:35","20081","20160","20115",
"2025-05-05 02:40","20017","20129","20115",
"2025-05-05 02:45","19974","20107","20053",
"2025-05-05 02:50","19910","20083","20053",
"2025-05-05 02:55","19894","20047","20053",
"2025-05-05 03:00","19611","19958","19929",
"2025-05-05 03:05","20000","19914","19929",
"2025-05-05 03:10","19996","19887","19929",
"2025-05-05 03:15","20065","19877","19676",
"2025-05-05 03:20","19943","19874","19676",
"2025-05-05 03:25","19833","19867","19676",
"2025-05-05 03:30","20008","19856","19703",
"2025-05-05 03:35","19900","19845","19703",
"2025-05-05 03:40","19910","19839","19703",
"2025-05-05 03:45","19798","19839","19710",
"2025-05-05 03:50","19678","19837","19710",
"2025-05-05 03:55","19711","19827","19710",
"2025-05-05 04:00","19811","19790","19870",
"2025-05-05 04:05","19873","19775","19870",
"2025-05-05 04:10","19905","19774","19870",
"2025-05-05 04:15","19817","19787","19822",
"2025-05-05 04:20","19886","19805","19822",
"2025-05-05 04:25","19715","19818","19822",
"2025-05-05 04:30","19710","19825","19877",
"2025-05-05 04:35","19810","19841","19877",
"2025-05-05 04:40","19867","19879","19877",
"2025-05-05 04:45","19899","19941","20065",
"2025-05-05 04:50","19955","19991","20065",
"2025-05-05 04:55","20137","19993","20065",
"2025-05-05 05:00","20140","19946","20100",
"2025-05-05 05:05","20277","19915","20100",
"2025-05-05 05:10","20232","19962","20100",
"2025-05-05 05:15","20374","20084","20415",
"2025-05-05 05:20","20365","20245","20415",
"2025-05-05 05:25","20417","20407","20415",
"2025-05-05 05:30","20698","20570","20899",
