Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-05-01 21:00","25326","26315","25629",
"2025-05-01 21:05","25731","26654","25629",
"2025-05-01 21:10","25850","26880","25629",
"2025-05-01 21:15","26007","26991","26092",
"2025-05-01 21:20","26356","27042","26092",
"2025-05-01 21:25","26429","27082","26092",
"2025-05-01 21:30","26504","27113","26267",
"2025-05-01 21:35","26487","27122","26267",
"2025-05-01 21:40","26595","27098","26267",
"2025-05-01 21:45","26535","27041","26507",
"2025-05-01 21:50","26467","26959","26507",
"2025-05-01 21:55","26488","26864","26507",
"2025-05-01 22:00","26484","26807","25982",
"2025-05-01 22:05","26327","26690","25982",
"2025-05-01 22:10","26098","26572","25982",
"2025-05-01 22:15","25897","26454","25649",
"2025-05-01 22:20","25895","26328","25649",
"2025-05-01 22:25","25666","26182","25649",
"2025-05-01 22:30","25637","26019","25174",
"2025-05-01 22:35","25383","25856","25174",
"2025-05-01 22:40","25235","25714","25174",
"2025-05-01 22:45","25090","25592","24501",
"2025-05-01 22:50","24895","25432","24501",
"2025-05-01 22:55","24789","25176","24501",
"2025-05-01 23:00","24564","24789","23944",
"2025-05-01 23:05","24306","24439","23944",
"2025-05-01 23:10","24141","24194","23944",
"2025-05-01 23:15","23961","24051","23362",
"2025-05-01 23:20","23908","23948","23362",
"2025-05-01 23:25","23643","23823","23362",
"2025-05-01 23:30","23415","23674","23187",
"2025-05-01 23:35","23166","23523","23187",
"2025-05-01 23:40","23039","23387","23187",
"2025-05-01 23:45","23019","23268","22557",
"2025-05-01 23:50","22799","23149","22557",
"2025-05-01 23:55","22545","23013","22557",
"2025-05-02 00:00","22415","22734","22131",
"2025-05-02 00:05","22275","22583","22131",
"2025-05-02 00:10","22248","22448","22131",
"2025-05-02 00:15","22225","22331","21819",
"2025-05-02 00:20","21965","22224","21819",
"2025-05-02 00:25","21663","22117","21819",
"2025-05-02 00:30","21667","22011","21618",
"2025-05-02 00:35","21445","21909","21618",
"2025-05-02 00:40","21300","21815","21618",
"2025-05-02 00:45","21160","21729","21029",
"2025-05-02 00:50","21052","21641","21029",
"2025-05-02 00:55","20837","21543","21029",
"2025-05-02 01:00","20820","21315","20618",
"2025-05-02 01:05","20712","21207","20618",
"2025-05-02 01:10","20596","21108","20618",
"2025-05-02 01:15","20459","21018","20173",
"2025-05-02 01:20","20498","20932","20173",
"2025-05-02 01:25","20448","20843","20173",
"2025-05-02 01:30","20261","20752","20031",
"2025-05-02 01:35","20216","20659","20031",
"2025-05-02 01:40","20153","20566","20031",
"2025-05-02 01:45","20051","20473","19990",
"2025-05-02 01:50","19830","20385","19990",
"2025-05-02 01:55","19867","20307","19990",
"2025-05-02 02:00","19780","20170","19568",
"2025-05-02 02:05","19613","20105","19568",
"2025-05-02 02:10","19604","20035","19568",
"2025-05-02 02:15","19486","19961","19377",
"2025-05-02 02:20","19476","19885","19377",
"2025-05-02 02:25","19465","19812","19377",
"2025-05-02 02:30","19339","19742","19340",
"2025-05-02 02:35","19298","19679","19340",
"2025-05-02 02:40","19194","19627","19340",
"2025-05-02 02:45","19223","19586","19167",
"2025-05-02 02:50","19273","19537","19167",
"2025-05-02 02:55","19209","19461","19167",
"2025-05-02 03:00","19118","19318","19209",
"2025-05-02 03:05","19136","19223","19209",
"2025-05-02 03:10","19071","19169","19209",
"2025-05-02 03:15","19056","19158","19086",
"2025-05-02 03:20","19078","19164","19086",
"2025-05-02 03:25","19097","19163","19086",
"2025-05-02 03:30","18964","19155","19211",
"2025-05-02 03:35","18867","19145","19211",
"2025-05-02 03:40","18922","19140","19211",
"2025-05-02 03:45","18966","19140","18954",
"2025-05-02 03:50","18912","19142","18954",
"2025-05-02 03:55","18888","19147","18954",
"2025-05-02 04:00","18861","19130","18957",
"2025-05-02 04:05","18888","19137","18957",
"2025-05-02 04:10","18910","19144","18957",
"2025-05-02 04:15","18978","19150","18969",
"2025-05-02 04:20","18830","19155","18969",
"2025-05-02 04:25","18745","19158","18969",
"2025-05-02 04:30","18791","19158","18977",
"2025-05-02 04:35","18821","19165","18977",
"2025-05-02 04:40","18728","19186","18977",
"2025-05-02 04:45","18775","19222","18814",
"2025-05-02 04:50","18833","19249","18814",
"2025-05-02 04:55","18772","19242","18814",
"2025-05-02 05:00","18866","19197","18911",
"2025-05-02 05:05","19043","19168","18911",
"2025-05-02 05:10","18977","19192","18911",
"2025-05-02 05:15","19147","19271","19335",
"2025-05-02 05:20","19221","19377","19335",
"2025-05-02 05:25","19270","19484","19335",
"2025-05-02 05:30","19171","19591","19378",
"2025-05-02 05:35","19267","19707","19378",
"2025-05-02 05:40","19444","19838","19378",
"2025-05-02 05:45","19407","19986","19907",
"2025-05-02 05:50","19487","20135","19907",
"2025-05-02 05:55","19675","20271","19907",
"2025-05-02 06:00","19785","20404","20686",
"2025-05-02 06:05","20460","20527","20686",
"2025-05-02 06:10","20801","20664","20686",
"2025-05-02 06:15","20864","20815","21103",
"2025-05-02 06:20","21067","20967","21103",
"2025-05-02 06:25","21119","21105","21103",
"2025-05-02 06:30","21344","21231","21467",
"2025-05-02 06:35","21487","21352","21467",
"2025-05-02 06:40","21664","21479","21467",
"2025-05-02 06:45","21847","21610","21886",
"2025-05-02 06:50","21814","21728","21886",
"2025-05-02 06:55","22074","21813","21886",
"2025-05-02 07:00","21935","21926","22656",
"2025-05-02 07:05","22326","21979","22656",
"2025-05-02 07:10","22646","22065","22656",
"2025-05-02 07:15","22770","22183","23277",
"2025-05-02 07:20","22797","22313","23277",
"2025-05-02 07:25","23039","22436","23277",
"2025-05-02 07:30","23051","22551","23301",
"2025-05-02 07:35","23282","22661","23301",
"2025-05-02 07:40","23252","22768","23301",
"2025-05-02 07:45","23297","22872","23504",
"2025-05-02 07:50","23296","22982","23504",
"2025-05-02 07:55","23415","23110","23504",
"2025-05-02 08:00","23435","23361","23745",
"2025-05-02 08:05","23649","23502","23745",
