Seguimiento de la demanda de energía eléctrica (MW)

Hora,Real,Prevista,Programada
"2025-05-02 21:00","28433","28256","28356",
"2025-05-02 21:05","28595","28470","28356",
"2025-05-02 21:10","28593","28605","28356",
"2025-05-02 21:15","28756","28662","28741",
"2025-05-02 21:20","29056","28673","28741",
"2025-05-02 21:25","28964","28671","28741",
"2025-05-02 21:30","29047","28656","28871",
"2025-05-02 21:35","29176","28616","28871",
"2025-05-02 21:40","29166","28540","28871",
"2025-05-02 21:45","28891","28428","28842",
"2025-05-02 21:50","28868","28303","28842",
"2025-05-02 21:55","28541","28190","28842",
"2025-05-02 22:00","28580","28137","28133",
"2025-05-02 22:05","28271","28022","28133",
"2025-05-02 22:10","28196","27869","28133",
"2025-05-02 22:15","28082","27679","27614",
"2025-05-02 22:20","27607","27471","27614",
"2025-05-02 22:25","27605","27266","27614",
"2025-05-02 22:30","27423","27066","26864",
"2025-05-02 22:35","27251","26869","26864",
"2025-05-02 22:40","26814","26675","26864",
"2025-05-02 22:45","26410","26485","26292",
"2025-05-02 22:50","26500","26288","26292",
"2025-05-02 22:55","26379","26073","26292",
"2025-05-02 23:00","26271","25800","25452",
"2025-05-02 23:05","25908","25573","25452",
"2025-05-02 23:10","25921","25375","25452",
"2025-05-02 23:15","25698","25208","25073",
"2025-05-02 23:20","25436","25058","25073",
"2025-05-02 23:25","25126","24912","25073",
"2025-05-02 23:30","24843","24772","24657",
"2025-05-02 23:35","24898","24632","24657",
"2025-05-02 23:40","24832","24487","24657",
"2025-05-02 23:45","24558","24338","24199",
"2025-05-02 23:50","24196","24210","24199",
"2025-05-02 23:55","24106","24128","24199",
"2025-05-03 00:00","24036","23963","23658",
"2025-05-03 00:05","23988","23930","23658",
"2025-05-03 00:10","23862","23852","23658",
"2025-05-03 00:15","23747","23731","23326",
"2025-05-03 00:20","23968","23591","23326",
"2025-05-03 00:25","23745","23459","23326",
"2025-05-03 00:30","23552","23334","23044",
"2025-05-03 00:35","23443","23216","23044",
"2025-05-03 00:40","23382","23104","23044",
"2025-05-03 00:45","23170","22998","22816",
"2025-05-03 00:50","23116","22878","22816",
"2025-05-03 00:55","22594","22725","22816",
"2025-05-03 01:00","22708","22434","22324",
"2025-05-03 01:05","22596","22249","22324",
"2025-05-03 01:10","22709","22101","22324",
"2025-05-03 01:15","22410","21990","21845",
"2025-05-03 01:20","22438","21896","21845",
"2025-05-03 01:25","22276","21799","21845",
"2025-05-03 01:30","22067","21697","21597",
"2025-05-03 01:35","22049","21599","21597",
"2025-05-03 01:40","21902","21509","21597",
"2025-05-03 01:45","21734","21427","21329",
"2025-05-03 01:50","21728","21349","21329",
"2025-05-03 01:55","21398","21267","21329",
"2025-05-03 02:00","21319","21102","20910",
"2025-05-03 02:05","21464","21021","20910",
