Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-04-27 21:00","7327","3390","187","4206","-810","340","866","531","336","95","127","0","1643","-20","-71","0","-2337","0","1724","0","0","7090",
"2025-04-27 21:05","7495","3391","187","4281","-839","226","854","527","345","97","130","0","1652","-20","-182","0","-2461","0","1807","0","0","7272",
"2025-04-27 21:10","7606","3388","187","4213","-548","183","834","527","343","95","134","0","1653","-21","-182","0","-2164","0","1855","0","0","7273",
"2025-04-27 21:15","7315","3384","187","4246","-538","157","817","527","348","96","137","0","1650","-20","-107","0","-2293","0","1891","0","0","7586",
"2025-04-27 21:20","7393","3385","186","4316","-223","150","788","527","353","96","139","0","1653","-20","-42","0","-2370","0","2178","0","0","7549",
"2025-04-27 21:25","7454","3384","186","4300","1","148","749","527","347","95","142","0","1655","-20","-61","0","-2062","0","2141","0","0","7560",
"2025-04-27 21:30","7495","3387","186","4286","-109","146","711","527","353","105","145","0","1657","-19","0","0","-2172","0","2090","95","0","7712",
"2025-04-27 21:35","7379","3385","186","4294","-141","146","698","499","356","109","148","0","1648","-19","-32","0","-2301","0","2269","0","0","7881",
"2025-04-27 21:40","7265","3386","186","4329","-239","144","691","499","356","111","156","0","1617","-19","-45","0","-2291","0","2225","0","0","7838",
"2025-04-27 21:45","7254","3386","186","4167","-126","144","686","499","367","110","162","0","1644","-19","-113","0","-2219","0","2249","0","0","7821",
"2025-04-27 21:50","7006","3386","186","4160","154","143","676","498","370","109","167","0","1645","-19","-102","0","-1963","0","2273","0","0","7736",
"2025-04-27 21:55","7035","3383","184","4127","361","143","674","498","369","109","172","0","1645","-18","-76","0","-1787","0","2261","0","0","7749",
"2025-04-27 22:00","6942","3384","174","4132","483","142","667","498","369","110","176","0","1623","-17","-116","0","-1514","0","2205","0","0","7575",
"2025-04-27 22:05","7050","3384","166","4335","504","126","668","503","368","109","180","0","1664","-17","-147","0","-1556","0","2234","0","0","7422",
"2025-04-27 22:10","7579","3383","166","4161","168","126","665","503","368","110","184","0","1662","-17","-49","0","-1987","0","2190","0","0","7233",
"2025-04-27 22:15","7616","3386","166","4143","-1","126","661","503","368","108","186","0","1658","-16","-48","0","-1943","0","1984","0","0","7239",
"2025-04-27 22:20","7836","3387","165","4176","-712","126","661","507","358","110","187","0","1664","-15","-16","0","-2424","0","1814","0","0","7281",
"2025-04-27 22:25","7989","3386","166","4045","-518","126","659","507","361","108","186","0","1673","-15","0","0","-2297","0","1754","17","0","7145",
"2025-04-27 22:30","7909","3387","166","4031","-672","126","657","507","358","102","185","0","1666","-15","-1","0","-2492","0","1826","0","0","6812",
"2025-04-27 22:35","7601","3384","165","4009","-708","126","657","507","361","101","186","0","1674","-15","-11","0","-2476","0","1849","0","0","6897",
"2025-04-27 22:40","7216","3387","165","4109","-576","126","658","507","357","103","186","0","1677","-15","0","0","-2467","0","1871","5","0","7030",
"2025-04-27 22:45","7182","3383","166","4056","-325","126","657","507","347","102","187","0","1672","-14","-16","0","-2322","0","1977","0","0","6878",
"2025-04-27 22:50","6606","3388","166","3934","528","126","657","503","346","102","186","0","1668","-13","0","0","-1700","0","2140","69","0","6678",
"2025-04-27 22:55","6621","3386","165","3724","203","126","657","503","346","103","186","0","1676","-12","0","0","-1759","0","1989","37","0","6733",
"2025-04-27 23:00","6605","3387","165","3666","187","126","657","503","339","103","185","0","1673","-13","0","0","-1534","0","1724","8","0","6764",
"2025-04-27 23:05","7039","3386","165","4001","-1361","126","655","502","327","102","185","0","1628","-12","0","0","-2538","0","1126","49","0","7007",
"2025-04-27 23:10","7074","3385","165","3759","-1402","126","652","502","321","98","185","0","1658","-12","-53","0","-2506","0","1198","0","0","6977",
"2025-04-27 23:15","7045","3384","166","3773","-1187","126","654","502","316","81","184","0","1655","-11","-76","0","-2455","0","1323","0","0","6845",
"2025-04-27 23:20","6600","3387","165","3787","-628","126","610","502","307","78","179","0","1642","-11","-97","0","-1834","0","1336","0","0","6826",
"2025-04-27 23:25","6561","3388","165","3702","-472","126","608","502","312","77","171","0","1607","-11","-153","0","-1677","0","1374","0","0","6723",
"2025-04-27 23:30","6507","3385","165","3801","-434","126","610","502","310","77","164","0","1637","-10","-90","0","-1613","0","1400","0","0","6542",
"2025-04-27 23:35","6387","3384","167","3920","-1042","126","608","502","306","77","156","0","1642","-10","-138","0","-2331","0","1485","0","0","6763",
"2025-04-27 23:40","6394","3383","166","3830","-743","126","607","502","300","77","147","0","1639","-10","-62","0","-2196","0","1479","0","0","6582",
"2025-04-27 23:45","6280","3386","166","3756","-830","126","609","502","300","78","137","0","1639","-10","-37","0","-2200","0","1417","0","0","6607",
"2025-04-27 23:50","6291","3385","165","3733","-976","126","607","502","301","77","130","0","1644","-9","-100","0","-2298","0","1468","0","0","6680",
"2025-04-27 23:55","6192","3386","170","3838","-1076","126","605","502","302","78","124","0","1644","-9","-55","0","-2475","0","1460","0","0","6623",
"2025-04-28 00:00","6082","3385","180","4140","-933","126","603","502","294","77","118","0","1641","-8","-338","0","-1873","0","1252","0","0","6621",
"2025-04-28 00:05","6576","3383","185","4419","-2146","126","604","493","290","70","113","0","1633","-8","-345","0","-2966","0","1182","0","0","6732",
"2025-04-28 00:10","6814","3383","186","4364","-2128","126","605","493","279","62","108","0","1628","-7","-507","0","-2661","0","1033","0","0","6641",
"2025-04-28 00:15","6628","3387","185","4220","-1928","117","602","493","276","54","106","0","1622","-7","-494","0","-2608","0","1134","0","0","6748",
"2025-04-28 00:20","6606","3387","185","4157","-1806","117","641","494","271","52","105","0","1632","-7","-628","0","-2543","0","1365","0","0","6731",
"2025-04-28 00:25","6553","3384","185","4179","-1868","117","638","494","271","52","110","0","1641","-6","-628","0","-2476","0","1266","0","0","6816",
"2025-04-28 00:30","6172","3385","185","4185","-1465","117","638","494","267","53","114","0","1601","-6","-593","0","-2039","0","1225","0","0","6691",
"2025-04-28 00:35","6103","3387","185","4191","-1631","117","638","493","262","52","118","0","1645","-6","-559","0","-2522","0","1454","0","0","6757",
"2025-04-28 00:40","5966","3387","185","4074","-1560","117","637","493","265","51","123","0","1636","-6","-441","0","-2533","0","1400","0","0","6647",
"2025-04-28 00:45","5930","3387","185","4035","-1646","117","636","493","264","52","127","0","1636","-5","-435","0","-2558","0","1338","0","0","6580",
"2025-04-28 00:50","5760","3386","185","4039","-1468","117","635","493","261","51","130","0","1637","-5","-468","0","-2416","0","1420","0","0","6701",
"2025-04-28 00:55","5707","3384","185","4082","-1520","117","636","493","259","52","134","0","1625","-5","-472","0","-2490","0","1448","0","0","6767",
"2025-04-28 01:00","5658","3386","185","4072","-1564","117","633","493","257","53","133","0","1595","-5","-433","0","-2506","0","1405","0","0","6803",
"2025-04-28 01:05","5581","3387","185","4261","-1917","117","629","493","260","51","130","0","1591","-4","-487","0","-2326","0","961","0","0","7093",
"2025-04-28 01:10","5502","3386","185","4370","-2033","117","628","493","259","42","126","0","1578","-4","-486","0","-2360","0","809","0","0","6972",
"2025-04-28 01:15","5407","3390","185","4349","-2079","117","628","493","256","42","127","0","1572","-4","-438","0","-2492","0","868","0","0","7000",
"2025-04-28 01:20","5428","3388","185","4331","-1974","117","625","493","257","41","129","0","1571","-4","-404","0","-2654","0","1019","0","0","7004",
"2025-04-28 01:25","5638","3390","185","4269","-1902","117","624","493","257","42","134","0","1578","-4","-436","0","-2567","0","1055","0","0","6949",
"2025-04-28 01:30","5518","3388","185","4136","-1729","117","624","493","255","42","135","0","1576","-4","-448","0","-2309","0","1052","0","0","6773",
"2025-04-28 01:35","5643","3384","185","4171","-1812","117","623","498","258","42","135","0","1535","-3","-445","0","-2737","0","1343","0","0","6759",
"2025-04-28 01:40","5719","3385","185","4076","-1811","117","621","498","256","42","134","0","1572","-4","-379","0","-2742","0","1308","0","0","6612",
"2025-04-28 01:45","5621","3389","185","4055","-1573","117","621","498","256","42","134","0","1571","-3","-212","0","-2598","0","1242","0","0","6519",
"2025-04-28 01:50","5544","3388","185","3980","-1313","117","620","496","253","42","135","0","1574","-3","-101","0","-2566","0","1325","0","0","6402",
"2025-04-28 01:55","5548","3388","185","3974","-1342","117","621","496","251","42","135","0","1574","-3","-119","0","-2537","0","1288","0","0","6420",
"2025-04-28 02:00","5551","3386","185","3985","-1282","117","620","496","250","42","135","0","1571","-3","-73","0","-2666","0","1447","0","0","6376",
"2025-04-28 02:05","5508","3389","185","3907","-1259","117","619","493","254","42","135","0","1578","-3","-14","0","-2760","0","1451","0","0","6034",
"2025-04-28 02:10","5490","3387","185","3877","-1324","117","617","493","252","42","135","0","1578","-3","-48","0","-2693","0","1474","0","0","6053",
"2025-04-28 02:15","5228","3389","185","3809","-1088","116","618","493","250","41","135","0","1575","-3","-37","0","-2551","0","1483","0","0","6002",
"2025-04-28 02:20","5066","3392","185","3764","-945","116","617","493","249","42","135","0","1580","-3","0","0","-2687","0","1683","27","0","6070",
"2025-04-28 02:25","5036","3386","185","3787","-862","116","616","493","249","42","136","0","1580","-3","0","0","-2579","0","1654","49","0","6108",
"2025-04-28 02:30","4972","3389","185","3700","-875","116","617","493","250","42","135","0","1578","-3","0","0","-2618","0","1788","17","0","6152",
