Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-05-05 21:00","12627","1751","192","5519","60","629","447","519","368","139","127","0","1423","-12","-543","0","0","219","847","0","0","6528",
"2025-05-05 21:05","12665","1752","192","6056","-550","510","419","528","371","138","134","0","1428","-12","-555","0","0","683","680","0","0","6847",
"2025-05-05 21:10","12685","1757","192","6146","-650","429","386","528","372","140","142","0","1434","-12","-632","0","0","727","659","0","0","6954",
"2025-05-05 21:15","12488","1772","192","6217","-497","378","381","528","379","139","149","0","1438","-11","-731","0","0","280","551","0","0","7004",
"2025-05-05 21:20","12520","1777","192","6210","-768","350","366","529","378","136","156","0","1432","-11","-842","0","0","213","335","0","0","7188",
"2025-05-05 21:25","12517","1777","192","6253","-909","331","362","529","379","141","160","0","1435","-11","-766","0","0","437","249","0","0","7276",
"2025-05-05 21:30","12488","1785","192","6266","-1036","326","347","529","384","139","166","0","1437","-10","-790","0","0","450","188","0","0","7263",
"2025-05-05 21:35","12424","1797","192","6539","-1127","324","336","529","383","138","170","0","1439","-10","-815","0","0","551","243","0","0","7214",
"2025-05-05 21:40","12333","1807","192","6603","-1293","322","321","529","386","138","176","0","1431","-9","-838","0","0","677","207","0","0","7071",
"2025-05-05 21:45","12299","1812","192","6532","-1012","322","305","529","384","150","179","0","1427","-8","-843","0","0","350","217","0","0","6673",
"2025-05-05 21:50","12324","1820","192","6451","-670","321","297","528","383","147","183","0","1430","-8","-795","0","0","98","191","0","0","6292",
"2025-05-05 21:55","12334","1829","192","6463","-483","321","282","528","378","150","185","0","1425","-7","-782","0","-14","0","176","0","0","5953",
"2025-05-05 22:00","12312","1834","192","6564","-1230","317","263","528","380","150","184","0","1432","-8","-801","0","0","572","197","0","0","6023",
"2025-05-05 22:05","12340","1838","192","6450","-1749","310","245","530","380","150","184","0","1434","-7","-766","0","0","1452","453","0","0","6351",
"2025-05-05 22:10","12360","1837","192","6289","-1606","304","239","530","378","147","185","0","1430","-7","-773","0","0","1338","435","0","0","6434",
"2025-05-05 22:15","12340","1843","192","6185","-2011","301","233","530","377","143","185","0","1428","-6","-759","0","0","1624","403","0","0","6575",
"2025-05-05 22:20","12444","1844","193","5687","-2259","301","228","530","376","143","184","0","1430","-6","-757","0","0","1808","343","0","0","6727",
"2025-05-05 22:25","12392","1853","192","5437","-2109","301","220","530","372","141","185","0","1426","-5","-790","0","0","1643","312","0","0","6806",
"2025-05-05 22:30","12440","1871","193","5408","-2405","301","207","530","361","141","185","0","1433","-5","-857","0","0","1894","306","0","0","6971",
"2025-05-05 22:35","12589","1871","193","5438","-2767","301","183","530","358","141","185","0","1427","-4","-863","0","0","2144","242","0","0","7016",
"2025-05-05 22:40","12595","1843","192","5377","-2836","301","165","530","355","140","186","0","1426","-4","-841","0","0","2087","118","0","0","6943",
"2025-05-05 22:45","12551","1848","192","5271","-2927","300","155","530","352","138","186","0","1422","-3","-847","0","0","2223","139","0","0","6692",
"2025-05-05 22:50","12456","1860","186","5033","-2720","301","142","530","344","132","187","0","1428","-2","-826","0","0","2081","186","0","0","6641",
"2025-05-05 22:55","12466","1863","186","5018","-2728","301","137","530","340","130","187","0","1434","-2","-839","0","0","2112","194","0","0","6613",
"2025-05-05 23:00","12360","1872","186","4972","-2645","301","132","530","331","134","186","0","1429","-3","-835","0","0","2128","256","0","0","6437",
"2025-05-05 23:05","12402","2005","187","4733","-2945","301","124","529","332","128","186","0","1434","-3","-819","0","0","2396","285","0","0","6470",
"2025-05-05 23:10","12248","2048","187","4662","-2799","300","118","529","330","123","184","0","1434","-3","-900","0","0","2217","310","0","0","6005",
"2025-05-05 23:15","12109","2065","186","4639","-2455","300","114","529","325","117","183","0","1425","-3","-782","0","0","2006","340","0","0","5867",
"2025-05-05 23:20","11954","2083","186","4769","-2462","299","112","521","312","121","184","0","1434","-2","-761","0","0","2014","317","0","0","5779",
"2025-05-05 23:25","11867","2091","186","4786","-2218","299","109","521","304","121","185","0","1432","-1","-772","0","0","1799","366","0","0","5674",
