Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-05-03 21:00","4449","1427","186","6189","2835","237","265","529","340","77","97","0","1545","-21","-189","0","-926","0","1810","0","0","6272",
"2025-05-03 21:05","4403","1428","186","5666","3492","166","270","535","344","76","100","0","1550","-21","-204","0","-1509","0","1895","0","0","6488",
"2025-05-03 21:10","4268","1426","186","5575","3716","111","264","535","348","76","102","0","1547","-21","-321","0","-1899","0","1834","0","0","6489",
"2025-05-03 21:15","4215","1426","186","5653","3783","85","267","535","353","75","105","0","1554","-20","-418","0","-2174","0","1653","0","0","6465",
"2025-05-03 21:20","4202","1427","186","5789","4039","76","268","535","359","77","107","0","1552","-19","-507","0","-2598","0","1520","0","0","6342",
"2025-05-03 21:25","4275","1426","186","5805","3908","73","267","535","362","77","111","0","1553","-19","-540","0","-2442","0","1581","0","0","6367",
"2025-05-03 21:30","4318","1428","186","5752","4264","69","244","535","364","77","118","0","1555","-18","-438","0","-2565","0","1639","0","0","6126",
"2025-05-03 21:35","4309","1425","186","5909","4201","68","241","535","369","78","124","0","1556","-18","-457","0","-2439","0","1739","0","0","6116",
"2025-05-03 21:40","4359","1426","185","5936","4242","68","233","535","370","80","129","0","1554","-18","-456","0","-2499","0","1688","0","0","5969",
"2025-05-03 21:45","4368","1426","187","5946","4261","67","224","535","372","84","135","0","1548","-18","-499","0","-2589","0","1696","0","0","5973",
"2025-05-03 21:50","4320","1427","187","5740","4466","67","214","533","374","93","137","0","1549","-18","-548","0","-2673","0","1918","0","0","6004",
"2025-05-03 21:55","4282","1427","186","5696","4369","67","184","533","374","96","138","0","1556","-18","-435","0","-2552","0","1924","0","0","5954",
"2025-05-03 22:00","4198","1428","186","5698","4202","67","174","533","375","90","143","0","1556","-17","-417","0","-2381","0","1876","0","0","6028",
"2025-05-03 22:05","4096","1427","186","5622","3870","58","172","534","371","90","148","0","1560","-16","-428","0","-2021","0","1819","0","0","6327",
"2025-05-03 22:10","4088","1425","186","5540","3798","58","153","534","369","88","151","0","1565","-17","-471","0","-2008","0","1767","0","0","6418",
"2025-05-03 22:15","4111","1428","186","5418","3562","58","147","534","368","93","152","0","1560","-16","-460","0","-1856","0","1723","0","0","6415",
"2025-05-03 22:20","4181","1427","186","4921","3825","58","128","534","370","93","152","0","1560","-15","-470","0","-1975","0","1817","0","0","6432",
