Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-05-06 21:00","8326","3428","188","5952","30","660","779","524","378","124","178","0","1566","-4","-787","0","0","586","232","0","0","8137",
"2025-05-06 21:05","8349","3430","188","5854","588","520","733","532","381","123","179","0","1561","-3","-788","0","0","872","386","0","0","7999",
"2025-05-06 21:10","8420","3435","187","5776","880","407","686","532","386","122","180","0","1559","-4","-770","0","0","1299","327","0","0","7961",
"2025-05-06 21:15","8424","3440","187","5715","784","343","671","532","386","121","179","0","1555","-3","-868","0","0","1385","267","0","0","8033",
"2025-05-06 21:20","8265","3440","187","5769","681","305","657","538","388","121","180","0","1563","-2","-828","0","0","1272","288","0","0","8089",
"2025-05-06 21:25","8139","3445","187","5642","1165","286","624","538","390","120","179","0","1561","-2","-804","0","0","1526","309","0","0","8092",
"2025-05-06 21:30","7824","3456","187","5676","1278","281","598","538","389","118","179","0","1560","-1","-805","0","0","1773","296","0","0","8194",
"2025-05-06 21:35","7863","3468","187","5844","634","276","589","538","389","114","180","0","1562","-1","-719","0","0","1142","287","0","0","8427",
"2025-05-06 21:40","7896","3477","187","5727","911","274","586","538","389","115","180","0","1563","-1","-718","0","0","1348","280","0","0","8206",
"2025-05-06 21:45","7953","3494","187","5643","1081","274","572","538","390","115","180","0","1556","0","-718","0","0","1535","225","0","0","8022",
"2025-05-06 21:50","7999","3495","187","5538","1132","274","570","534","393","118","180","0","1558","0","-761","0","0","1687","235","0","0","7918",
"2025-05-06 21:55","8014","3499","187","5495","1191","274","567","534","397","124","182","0","1554","0","-774","0","0","1804","214","0","0","7893",
"2025-05-06 22:00","8062","3498","187","5508","203","272","566","534","398","127","185","0","1546","0","-796","0","0","1021","135","0","0","8195",
"2025-05-06 22:05","8043","3492","187","5549","-594","269","557","538","396","122","185","0","1549","-9","-762","0","0","121","165","0","0","8536",
"2025-05-06 22:10","8079","3502","187","5541","-776","267","559","538","393","115","185","0","1549","-8","-753","0","-101","0","134","0","0","8437",
"2025-05-06 22:15","8063","3502","187","5478","-794","267","557","538","392","114","184","0","1553","-8","-836","0","0","1","80","0","0","8202",
"2025-05-06 22:20","8051","3502","186","5367","-788","267","557","536","388","112","184","0","1554","-7","-861","0","-80","0","148","0","0","8111",
"2025-05-06 22:25","8026","3503","186","5338","-832","267","556","536","383","112","184","0","1381","-7","-813","0","-31","0","29","0","0","8049",
"2025-05-06 22:30","8055","3510","186","5339","-1138","263","556","536","380","109","185","0","1559","-6","-825","0","-282","0","10","0","0","7960",
"2025-05-06 22:35","8110","3515","186","5137","-1324","263","555","536","369","110","184","0","1559","-5","-810","0","-664","0","139","0","0","8012",
"2025-05-06 22:40","8096","3518","187","5066","-1562","262","556","536","367","108","184","0","1566","-5","-804","0","-758","0","30","0","0","7947",
