Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-05-01 21:00","9792","1426","188","4535","-1992","296","670","497","349","53","108","0","1439","-13","-544","0","0","2545","1009","0","0","6720",
"2025-05-01 21:05","9937","1424","188","4360","-1635","182","594","494","355","53","107","0","1490","-12","-488","0","0","2314","1048","0","0","6900",
"2025-05-01 21:10","9990","1423","188","4409","-1655","109","569","494","354","53","109","0","1498","-11","-551","0","0","2308","1011","0","0","6920",
"2025-05-01 21:15","10134","1424","188","4437","-1802","73","554","494","361","53","115","0","1500","-12","-659","0","0","2222","979","0","0","6968",
"2025-05-01 21:20","10268","1423","188","4430","-1555","60","522","494","362","56","122","0","1498","-11","-706","0","0","2051","983","0","0","6965",
"2025-05-01 21:25","10431","1423","188","4414","-1681","58","503","494","372","62","129","0","1497","-11","-721","0","0","2100","990","0","0","7001",
"2025-05-01 21:30","10619","1424","188","4382","-1733","57","504","494","369","62","135","0","1492","-11","-640","0","0","2244","988","0","0","6989",
"2025-05-01 21:35","10712","1423","188","4358","-1826","55","487","494","375","59","141","0","1508","-10","-674","0","0","2326","1026","0","0","7005",
"2025-05-01 21:40","10798","1424","188","4356","-1822","55","488","494","379","59","146","0","1508","-10","-712","0","0","2418","1055","0","0","7010",
"2025-05-01 21:45","10862","1423","188","4352","-1845","55","485","494","377","60","147","0","1471","-10","-742","0","0","2270","962","0","0","6949",
"2025-05-01 21:50","10905","1422","188","4327","-1927","54","486","494","378","60","150","0","1512","-9","-722","0","0","2271","977","0","0","6953",
"2025-05-01 21:55","11006","1421","188","4337","-1937","54","484","494","375","62","155","0","1509","-9","-681","0","0","2269","982","0","0","6945",
"2025-05-01 22:00","11053","1424","187","4307","-1961","54","486","494","377","69","157","0","1508","-9","-673","0","0","2426","1046","0","0","7024",
"2025-05-01 22:05","11195","1422","176","4385","-2406","43","486","494","372","71","156","0","1472","-8","-695","0","0","2907","1147","0","0","7075",
"2025-05-01 22:10","11231","1422","177","4372","-2327","43","480","494","374","76","155","0","1506","-8","-785","0","0","2769","1127","0","0","6883",
"2025-05-01 22:15","11322","1424","178","4331","-2366","43","472","494","377","75","155","0","1500","-8","-775","0","0","2751","1163","0","0","6766",
"2025-05-01 22:20","11395","1424","178","4264","-2271","43","465","494","379","68","156","0","1509","-7","-762","0","0","2688","1070","0","0","6710",
"2025-05-01 22:25","11359","1424","178","4239","-2307","43","456","494","381","69","156","0","1470","-7","-807","0","0","2620","1000","0","0","6670",
"2025-05-01 22:30","11446","1424","178","4212","-2254","43","444","494","377","69","156","0","1514","-7","-797","0","0","2625","1015","0","0","6567",
"2025-05-01 22:35","10742","1422","178","4274","-2275","43","421","494","377","71","156","0","1513","-6","-838","0","0","2538","1098","0","0","6852",
"2025-05-01 22:40","10703","1423","178","4253","-2326","43","413","494","369","69","156","0","1513","-7","-906","0","0","2550","1117","0","0","6850",
"2025-05-01 22:45","10605","1423","178","4260","-2370","43","415","485","366","69","156","0","1513","-7","-895","0","0","2514","1002","0","0","6842",
"2025-05-01 22:50","10641","1421","178","4309","-2618","43","406","476","360","66","156","0","1514","-7","-976","0","0","2598","916","0","0","6826",
"2025-05-01 22:55","10536","1424","177","4271","-2446","43","380","476","361","63","155","0","1507","-6","-879","0","0","2499","888","0","0","6761",
"2025-05-01 23:00","10559","1426","178","4320","-2741","43","379","476","353","68","156","0","1507","-4","-822","0","0","2754","791","0","0","6779",
"2025-05-01 23:05","11004","1424","177","4416","-3199","43","377","488","350","71","152","0","1498","-4","-872","0","0","2993","587","0","0","6620",
"2025-05-01 23:10","10972","1424","177","4449","-3258","43","372","488","349","73","148","0","1459","-4","-890","0","0","2796","428","0","0","6550",
"2025-05-01 23:15","10884","1424","177","4508","-3190","43","367","488","347","46","145","0","1493","-3","-877","0","0","2710","424","0","0","6407",
"2025-05-01 23:20","10439","1424","178","4624","-2956","43","365","488","345","37","138","0","1496","-3","-827","0","0","2522","372","0","0","6502",
"2025-05-01 23:25","10464","1423","177","4702","-3168","43","363","488","338","36","133","0","1499","-2","-768","0","0","2652","241","0","0","6547",
"2025-05-01 23:30","10460","1424","177","4742","-3332","43","359","488","332","37","132","0","1453","-2","-759","0","0","2671","110","0","0","6496",
"2025-05-01 23:35","10213","1425","177","4991","-3426","43","350","488","330","32","131","0","1489","-1","-745","0","0","2843","154","0","0","6473",
