Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-05-04 21:00","8013","1429","186","5243","495","278","181","511","332","85","92","0","1468","-11","-400","0","-591","0","310","0","0","6774",
"2025-05-04 21:05","8037","1429","186","4752","1327","189","149","517","336","84","92","0","1462","-10","-369","0","-1250","0","417","0","0","6785",
"2025-05-04 21:10","7954","1428","186","4632","1574","121","148","517","339","88","94","0","1471","-11","-585","0","-1393","0","738","0","0","6840",
"2025-05-04 21:15","7940","1426","187","4630","1977","85","148","517","341","86","96","0","1481","-10","-774","0","-2200","0","530","0","0","6873",
"2025-05-04 21:20","7866","1427","186","4472","2250","63","148","511","344","85","97","0","1488","-10","-958","0","-2692","0","562","0","0","6958",
"2025-05-04 21:25","7748","1428","187","4490","2523","54","148","511","343","89","98","0","1490","-9","-725","0","-2776","0","516","0","0","7022",
"2025-05-04 21:30","7822","1428","187","4483","2622","52","148","511","346","89","97","0","1491","-9","-643","0","-2668","0","548","0","0","7062",
"2025-05-04 21:35","7654","1429","186","4721","2533","49","146","511","344","91","97","0","1487","-9","-656","0","-2552","0","600","0","0","7014",
"2025-05-04 21:40","7587","1429","187","4722","2525","50","146","511","348","93","97","0","1486","-9","-718","0","-2629","0","623","0","0","6755",
"2025-05-04 21:45","7548","1463","187","4672","2248","49","146","511","348","93","97","0","1480","-9","-733","0","-2554","0","456","0","0","6588",
"2025-05-04 21:50","7511","1518","187","4740","2589","49","146","510","356","95","98","0","1490","-9","-722","0","-3141","0","127","0","0","6592",
"2025-05-04 21:55","7451","1532","186","4746","2549","48","146","510","355","93","98","0","1489","-8","-658","0","-3057","0","164","0","0","6613",
"2025-05-04 22:00","7459","1534","186","4806","2168","49","146","510","353","94","101","0","1494","-8","-768","0","-2798","0","190","0","0","6679",
"2025-05-04 22:05","7464","1534","186","4640","1724","43","146","511","351","92","108","0","1500","-6","-824","0","-2300","0","336","0","0","6995",
"2025-05-04 22:10","7424","1532","180","4607","1968","42","146","511","351","82","109","0","1494","-7","-833","0","-2600","0","242","0","0","6944",
