Estructura de generación (MW)

Hora,Eólica,Nuclear,Carbón,Ciclo combinado,Intercambios int,Solar fotovoltaica,Solar térmica,Térmica renovable,Motores diésel,Turbina de gas,Turbina de vapor,Generación auxiliar,Cogeneración y residuos,Andorra exportación,Marruecos exportación,Portugal exportación,Francia exportación,Francia importación,Portugal importación,Marruecos importación,Andorra importación,Hidráulica
"2025-04-30 21:00","13056","1176","188","5451","-573","612","204","465","374","78","126","0","1603","0","0","-149","0","594","0","35","0","7045",
"2025-04-30 21:05","13053","1177","187","5526","-810","523","211","466","373","77","125","0","1624","0","0","-100","0","1007","0","121","0","7245",
"2025-04-30 21:10","13013","1174","187","5469","-535","491","213","466","376","80","127","0","1626","0","-28","-162","0","511","0","0","0","7285",
"2025-04-30 21:15","12948","1177","187","5492","-695","247","215","466","375","77","130","0","1626","0","-76","-188","0","544","0","0","0","7331",
"2025-04-30 21:20","12995","1177","188","5478","-805","238","227","466","379","78","134","0","1619","0","-5","-203","0","791","0","0","0","7430",
"2025-04-30 21:25","13004","1176","188","5469","-969","235","235","466","380","79","135","0","1592","0","-43","-214","0","866","0","0","0","7419",
"2025-04-30 21:30","12971","1178","188","5464","-480","234","242","466","379","76","135","0","1621","0","-2","-157","0","554","0","0","0","7068",
"2025-04-30 21:35","13029","1179","188","5465","-573","232","247","466","381","75","135","0","1598","0","-20","-191","0","589","0","0","0","6969",
"2025-04-30 21:40","13038","1177","188","5470","-510","231","250","466","381","75","135","0","1601","0","-56","-182","0","487","0","0","0","6809",
"2025-04-30 21:45","12406","1178","188","5488","13","230","253","466","382","75","135","0","1597","0","-21","-201","-3","0","0","0","0","6654",
"2025-04-30 21:50","12163","1179","188","5363","488","230","257","433","385","71","135","0","1599","0","-28","-180","-402","0","0","0","0","6346",
"2025-04-30 21:55","12110","1180","188","5373","145","230","259","433","388","71","138","0","1598","0","-55","-205","-289","0","0","0","0","6427",
"2025-04-30 22:00","12245","1178","188","5355","-382","230","261","433","391","72","145","0","1611","0","-76","-183","0","281","0","0","0","6392",
"2025-04-30 22:05","12327","1180","188","5376","-930","229","263","465","389","77","146","0","1639","0","-53","-218","0","833","0","0","0","6473",
"2025-04-30 22:10","12250","1178","188","5371","-1004","229","265","465","391","77","146","0","1591","0","-55","-217","0","884","0","0","0","6370",
"2025-04-30 22:15","12168","1179","188","5339","-1075","228","266","465","383","71","145","0","1643","0","-59","-224","0","887","0","0","0","6232",
"2025-04-30 22:20","12158","1180","188","5352","-694","3","264","432","385","66","145","0","1644","0","0","-236","0","723","0","48","0","6101",
"2025-04-30 22:25","12106","1182","188","5325","-695","3","261","432","385","68","145","0","1643","0","0","-226","0","752","0","50","0","5947",
"2025-04-30 22:30","11896","1180","188","5301","-937","2","252","432","381","68","145","0","1605","0","0","-198","0","907","0","0","0","5937",
